abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.038750,-0.942761,-0.850571,494.350132,494.351763,0.030271,-0.282913,0.039954,0.030930,19.136471,0.185861,0.697473,-9.679970,9.706844,0.000000,0.000000,-0.005490,-0.026084,-0.351207
0.039167,-1.103402,-0.769711,495.142224,495.144052,0.030039,-0.283250,0.040397,0.031254,19.342594,0.105909,0.938529,-8.883684,8.933750,0.000000,0.000000,-0.005548,-0.026448,-0.354975
0.039583,-1.023113,-0.730299,493.246222,493.247823,0.030146,-0.284567,0.040826,0.031564,19.548212,0.225836,0.777994,-9.046994,9.083192,0.000000,0.000000,-0.005636,-0.026786,-0.358810
0.040000,-0.982969,-0.770092,492.774308,492.775890,0.030776,-0.283827,0.041238,0.031871,19.753611,0.265749,0.817895,-10.152082,10.188442,0.000000,0.000000,-0.005733,-0.027113,-0.362952
0.040417,-0.982969,-0.609135,493.404338,493.405693,0.030603,-0.284378,0.041653,0.032133,19.959284,0.105972,0.657361,-9.991837,10.013998,0.000000,0.000000,-0.005794,-0.027400,-0.367028
0.040833,-1.063321,-0.568831,495.298882,495.300350,0.030494,-0.283294,0.042108,0.032395,20.165417,0.185861,0.697516,-8.573772,8.604106,0.000000,0.000000,-0.005849,-0.027685,-0.370776
0.041250,-1.304376,-0.890620,493.718153,493.720679,0.030482,-0.283271,0.042615,0.032741,20.371243,-0.053995,0.657319,-9.674611,9.697065,0.000000,0.000000,-0.005860,-0.027962,-0.374686
0.041667,-1.023113,-0.850699,493.718644,493.720437,0.030586,-0.282828,0.043050,0.033076,20.577025,0.185923,0.657361,-9.041484,9.067255,0.000000,0.000000,-0.005912,-0.028239,-0.378487
0.042083,-0.862410,-0.528656,494.667853,494.668888,0.030779,-0.282543,0.043412,0.033324,20.783016,0.065933,0.697558,-8.885160,8.912744,0.000000,0.000000,-0.005946,-0.028518,-0.382255
0.042500,-0.742041,-0.609262,493.878724,493.879657,0.031153,-0.284665,0.043740,0.033581,20.988809,0.026209,0.576882,-9.677383,9.694598,0.000000,0.000000,-0.005979,-0.028778,-0.386210
0.042917,-0.902681,-0.729790,493.245737,493.247103,0.030536,-0.283672,0.044114,0.033868,21.194329,0.305914,0.737713,-9.360139,9.394148,0.000000,0.000000,-0.006070,-0.029088,-0.390099
0.043333,-1.023113,-0.609389,492.615701,492.617140,0.030184,-0.284495,0.044520,0.034161,21.399695,0.065807,0.938571,-8.886924,8.936592,0.000000,0.000000,-0.006114,-0.029454,-0.393791
0.043750,-0.862219,-1.052087,493.561492,493.563366,0.030647,-0.283905,0.044896,0.034546,21.605280,0.065996,0.777741,-8.255075,8.291894,0.000000,0.000000,-0.006150,-0.029801,-0.397395
0.044167,-0.942952,-0.729790,493.563442,493.564883,0.030521,-0.283713,0.045264,0.034876,21.810953,0.185798,0.938486,-9.996238,10.041914,0.000000,0.000000,-0.006227,-0.030147,-0.401363
